id,name,description,cover,rating,release_date,created_at,updated_at
1,Inception,A thief who steals corporate secrets through the use of dream-sharing technology.,"https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.8,,2025-06-05 00:53:44.195256,2025-06-05 00:53:44.195285
2,The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.7,1999-03-31,2025-06-05 01:15:38.670338,2025-06-05 01:15:38.670358
3,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-05 01:17:14.323447,2025-06-05 01:17:14.323465
4,Harry Potter and the Chamber of Secrets,"Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, t...Read all","https://m.media-amazon.com/images/M/MV5BNGJhM2M2MWYtZjIzMC00MDZmLThkY2EtOWViMDhhYjRhMzk4XkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",7.4,2002-11-15,2025-06-05 01:17:28.832226,2025-06-05 01:17:28.832241
5,The Matrix Resurrections,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to ...Read all","https://m.media-amazon.com/images/M/MV5BMDMyNDIzYzMtZTMyMy00NjUyLWI3Y2MtYzYzOGE1NzQ1MTBiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.6,2021-12-22,2025-06-05 01:22:31.592496,2025-06-05 01:22:31.592510
6,Another,"When Sasakibara Kouichi transfers to a new school, he can sense something frightening in the atmosphere of his new class, a secret none of them will talk about. At the center is the beautifu...Read all","https://m.media-amazon.com/images/M/MV5BZGM2MjM0OTEtYTUwYy00NjBjLWI4NGQtZjM4NGYzMTE1ZmI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.5,2012-01-10,2025-06-05 01:22:55.713414,2025-06-05 01:22:55.713426
7,The Dark Knight Rises,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",8.4,2012-07-20,2025-06-05 01:26:41.985132,2025-06-05 01:26:41.985147
8,Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses...Read all","https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",7.9,2004-06-04,2025-06-05 01:32:53.186511,2025-06-05 01:32:53.186526
9,Harry Potter and the Deathly Hallows: Part 2,"As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.","https://m.media-amazon.com/images/M/MV5BOTA1Mzc2N2ItZWRiNS00MjQzLTlmZDQtMjU0NmY1YWRkMGQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.1,2011-07-15,2025-06-05 01:32:55.473105,2025-06-05 01:32:55.473119
10,Naruto: Shippuden,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of...Read all","https://m.media-amazon.com/images/M/MV5BNTk3MDA1ZjAtNTRhYS00YzNiLTgwOGEtYWRmYTQ3NjA0NTAwXkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",8.7,2009-10-28,2025-06-05 01:35:20.617817,2025-06-05 01:35:20.617831
